osm_type;osm_id;internal_id;query
way;154470603;0x130e44cd6e20475f:0x671441b8dc03be60;Kalkara
node;5896564791;0x130e45014da2fa03:0xf743a120b9194c06;Spar, Triq Tigné
node;2471609507;0x130e4501edfb329b:0x9edcdba888218c47;Bayview Hotel & Apartments, The Strand 143, Sliema
node;6222651588;0x130e450a6e7438bd:0x5af47e8f69212d52;David Hardware Store, Triq Carlo Manche
node;6635172974;0x130e451ad5f0c673:0x1973502978d5c025;Chef Lee, Triq d'Argens
relation;12634993;0x130e451d009c771d:0x1cf6ec5b812ebc75;Consulate General of Austria, Vjal Sir Temi Zammit 8, XBX 1011, Ta' Xbiex
node;7442975758;0x130e451fb816909b:0xd8a592326a69a444;111 Art Gallery, Triq il-Gnien 38/40, GZR1411, Gzira
way;532280196;0x130e4524d863accb:0x59b5320a6f75ae7b;Triq Tigné
node;6762940584;0x130e4525313284cd:0x74fab348121af42f;HB mini market, Mattew Pulis Street, Sliema
way;339461449;0x130e4525391b83bd:0x8e64cfd286b0304a;Rocca Nettuno Suites, Mattew Pulis Street, SLM 3052, Sliema
node;4520210790;0x130e4525449b1c9b:0xc30141cdbc076c0b;Bonavia Offset Printers, Ix-Xatt ta' Tigné
node;6652710861;0x130e45256229dd63:0xba4f9dfa3c3a1be5;Balance Bowl, Triq Ix-Xatt 182
node;6029375986;0x130e4525648b1189:0x8450119c56aa52ae;Terrace Restaurant Sliema, Ix-Xatt ta' Tigné
node;5895898460;0x130e4525a369b70b:0x97db04184cc49842;Cibo, Piazza Tigné
node;6586848918;0x130e4525bf41cc0b:0x4991ff29c2de2b0f;Medirect Bank, Tigné Point
way;552460832;0x130e4525c08821e7:0xfd04990cc39f6023;The Centre, Pjazza Tigné, TPO 0001, Tas-Sliema
way;279285695;0x130e45281d8647c5:0x745ad38ee242c917;Valletta
node;7837644686;0x130e45295846ccc1:0xac677a191ebb463f;Di Carafa, Triq l-Ifran
node;5056882129;0x130e4529d6bd8bf9:0x9414dd60422fd879;St Elmo Bastion, Mediterranean Street, Valletta
node;5420985023;0x130e452a1b8f40f3:0xa794cd316ad426a7;Entrance Holy Infirmary, Triq l-Isptar, VLT 1645
node;4344290323;0x130e452a28c84043:0xfb630125479dcb9c;Elia Greek Cuisine, Merchant Steet 73
node;2803079339;0x130e452a2f229afd:0xc9792ad7fa2cb56d;Russian Cultural Centre, Triq il-Merkanti 36, Valletta
node;4344230293;0x130e452a33ef23e5:0x7704fa4b63525d64;Nenu The Artisan Baker, St. Dominic Street 143
node;4485100698;0x130e452a37c5225b:0x5b3ba2a35595bfd0;A Modo Mio, St. Dominic Street 9
node;5643807921;0x130e452a68074041:0xec17deceef42f2b7;Valletta St. Paul’s AFT, Triq il-Mediterran
node;4502588191;0x130e452b5106ec25:0x186ba7fecf58a6c0;IMS Ltd, Triq L Zamenhof
way;55064408;0x130e452b5e2e0531:0x5fa8dd8238dbdda;Ta' Giezu Church, St. Ursula Street, Valletta
node;6594723085;0x130e452b78a28857:0x1815439193f606a3;Bottega, Triq il-Merkanti 200
node;4487387089;0x130e452b78c8a76f:0xebd4cc4b86631a56;The Submarine, Triq Il-Merkanti 43
node;5041166921;0x130e452b7de383e1:0xac21e5c0dea94e62;LaPira Maltese Kitchen, Triq il-Merkanti 35
node;5107239721;0x130e452b9e9e6ec3:0x7c7f127eb83fc9b7;Lot Sixty One, old theatre street
way;31232775;0x130e452b9f345ae7:0x607f3a89002bd73b;Is-Suq Tal-Belt, Triq il-Merkanti, Valletta
node;5660926721;0x130e452b9fee8ae3:0x5883140c56f25a4b;Paulos Valetta, Triq San Pawl 237
node;7815132785;0x130e452ba43b7e4d:0x8a159e865cbc8714;Beati Paoli Restaurant, Triq San Pawl 240
node;2471616059;0x130e452bac86bcf9:0x6edb45afe04cef3d;Luciano Al Porto Boutique, St. Ursula Street 255, 1111, Valletta
node;6621238959;0x130e452bad2dec77:0xca272279967b191a;Palazzo Consiglia, Triq Saint Ursula 102
node;4437361510;0x130e452baf36e9e3:0xadc455deae33dd1c;Uptown Mini Market, Archbishop Street 12
node;2471616058;0x130e452bb7b7f60d:0x352ddc7390d2a56f;Luciano Valletta Boutique, Merchants Street 21, 1010, Vallettaa
node;5084247925;0x130e452bb8e66aa7:0xad45f4775deeabbe;The Saint John, Triq il-Merkanti 176
node;5084236525;0x130e452bb8fb74d5:0x20d64ac17301d6d9;Cheeky Monkey Gastropub, Triq il-Merkanti 175
node;837347119;0x130e452bb91e16c5:0xd9bf7ca5ec1b6123;La Mère, Merchant st 174
node;5095181824;0x130e452bb97510b1:0xb593b5f456b31206;Tuk tuk, Triq il-Merkanti 174, VLT 1174
node;837638770;0x130e452bbf00ed6d:0x1c26b325683b33f5;The Pub, Triq l-Arcisqof 136
node;4692258789;0x130e452bd621ab85:0x3c4f34e8cd1c7caf;Gugar Hangout & Bar, Triq ir-Repubblika 89
way;33506558;0x130e452bd7466203:0xe90c79e40e64ff6b;Casa Rocca Piccola, Republic Street 74, VLT 05, Valletta
node;387211864;0x130e452be9558a67:0x24a0415c17bdd953;Margo's, Republic Street, Valletta
node;7800564286;0x130e452beeaf5631:0xff2b189775c5b0fe;Triq l-Arċisqof
node;5484418621;0x130e452bfa99a8cf:0x646d1b61259ddfbe;Aaron's Kitchen, Strait Street
