internal_id;h3_index;latitude;longitude;name;tags;categories;place_id;address;timezone;temporarily_closed;permanently_closed;inside_of;price_level;contact_phone;contact_website;number_of_reviews;rating_stars;spending_time_min;spending_time_max;has_popularity;has_opening_hours;has_waiting_time
0x46b54a5a7d4ed1fd:0x932ad74a3f2e7e60;8f1181a1952d630;55.4103069;37.9024513;Moscow Domodedovo Mikhail Lomonosov Airport;{international_airport};{airport};ChIJ_dFOfVpKtUYRYH4uP0rXKpM;{Moscow Oblast,Russia};Europe/Moscow;false;false;;;+74959336666;https://www.dme.ru/;39373;4.2;;;true;false;true
0x487604e08939064d:0x59887c6e6e215e84;8f194ad1448cac9;51.4931466;-0.1375337;RE/MAX Central;{real_estate_agents,apartment_rental_agency,commercial_agent,property_investment,property_management_company};{service};ChIJTQY5ieAEdkgRhF4hbm58iFk;{85 Rochester Row,London,SW1P 1LJ,United Kingdom};Europe/London;false;false;;;+442076301099;http://www.remax.co.uk/central;111;4.5;;;false;true;false
0x48693091a4e3367d:0x4b05e135f5c25f78;8f195a413c021b2;51.674043;-4.908637;Pembroke;"";"";ChIJfTbjpJEwaUgReF_C9TXhBUs;{UK};Europe/London;false;false;;;;;;;;;false;false;false
0x47c5e37e3bef4933:0xb5e624f5197f65bf;8f1968269bb56cd;52.3897001;4.8494499;Black Cat Theatre;{childrens_theater,music_school};{art_culture,education};ChIJM0nvO37jxUcRv2V_GfUk5rU;{Schakelstraat 2,1014 AW Amsterdam,Netherlands};Europe/Amsterdam;false;false;;;+31638066480;http://blackcattheatre.nl/;60;4.9;;;true;false;true
0x47c0c4973b395b15:0xbc45fd9317e81195;8f1fa096b432218;50.9702469;5.6801788;GO! basisschool voor buitengewoon onderwijs Mikado;{elementary_school};{misc};ChIJFVs5O5fEwEcRlRHoF5P9Rbw;{Bosweg 71,3630 Maasmechelen,Belgium};Europe/Brussels;false;false;;;+3289760277;http://www.bsbomikado.be/;5;4.8;;;false;true;false
0x8816d3501297c131:0x3c9f57ffc1d42ba5;8f274b46e3b30b6;41.7058097;-86.2350201;Notre Dame Security Police;{police_department};{public_service};ChIJMcGXElDTFogRpSvUwf9Xnzw;{Hammes Mowbray Hall,Notre Dame, IN 46556,United States};America/Indianapolis;false;false;0x8816cd576bfc35cd:0x5a2be3cb659fd9b7;;+15746315555;http://ndsp.nd.edu/;;;;;false;false;false
0x808f80b183b3d067:0x3eaabdb7467e9240;8f28308101a9af6;37.8054809;-122.2712195;Caffe Teatro;{cafe,deli,sandwich_shop};{food,cafe};ChIJZ9Czg7GAj4ARQJJ-Rre9qj4;{300 Frank H. Ogawa Plaza #130,Oakland, CA 94612,United States};America/Los_Angeles;false;false;;1;+15102678970;http://caffeteatrooakland.com/;17;4.3;;;true;true;true
0x808581108cee81cb:0x34e1a2ad5be73318;8f28308280d1cdc;37.7771959;-122.4173361;110 Web Design;{software_company};{service};ChIJy4HujBCBhYARGDPnW62i4TQ;{1390 Market St Suite 200,San Francisco, CA 94102};America/Los_Angeles;false;false;0x8085809c0c15cadf:0xcbbbf29fd9e265a4;;+18552400930;https://110webdesign.com/;;;;;false;true;false
0x8085809b49ae72d5:0xe8cfb60d1ebe7f27;8f28308287accdc;37.7795826;-122.4129553;A.C.T.'s Strand Theater & Cafe;{performing_arts_theater};{art_culture};ChIJ1XKuSZuAhYARJ3--Hg22z-g;{1127 Market St,San Francisco, CA 94103,United States};America/Los_Angeles;true;false;;;+14157492228;http://www.act-sf.org/strand;212;4.6;;;false;false;false
0x808580c9dbbd6fcf:0x987a2bfedc89c62;8f283082909c4f4;37.7854649;-122.4393145;Lancellotti Paola;{doctor};{medical};ChIJz2-928mAhYARYpzI7b-ihwk;{2356 Sutter St # 6,San Francisco, CA 94115,United States};America/Los_Angeles;false;false;;;+14158857788;;;;;;false;false;false
0x808581f215b60ebb:0x235abe53a6a07df9;8f283082a22a98b;37.7921379;-122.4028277;315 MONTGOMERY STREET;{business_center};{office};ChIJuw62FfKBhYAR-X2gplO-WiM;{315 Montgomery St,San Francisco, CA 94104};America/Los_Angeles;false;false;;;+12015871000;https://www.vno.com/office/property/315-montgomery-street/3311896/landing;;;;;false;false;false
0x808580884e6635b5:0xd24ceeb04cda0dc9;8f283082a32b92b;37.789077;-122.4032362;Consulate of France;{foreign_consulate};{misc};ChIJtTVmToiAhYARyQ3aTLDuTNI;{88 Kearny St #600,San Francisco, CA 94108};America/Los_Angeles;false;false;0x8085808836557eb5:0xcf349ea3bd316b6b;;+16502853223;http://consulfrance-sanfrancisco.org/;84;3.8;;;false;false;false
0x80858066a8b9520d:0x47689ad2e32a0afe;8f283082a759cec;37.7942072;-122.3947852;One Market Restaurant/Mark 'n Mike's NY Style Deli;{american_restaurant,bar,restaurant};{food,drinks};ChIJDVK5qGaAhYAR_goq49KaaEc;{1 Market St,San Francisco, CA 94105,United States};America/Los_Angeles;false;false;0x808580643c3e2b6b:0xdfaed86e138e4f01;3;+14157775577;http://www.onemarket.com/;773;4.3;;;true;true;true
0x808f7fd5ab1c02bf:0xf614aab9f5507597;8f283082a8320e9;37.7777954;-122.3959876;4th St;"";"";ChIJvwIcq9V_j4ARl3VQ9bmqFPY;{San Francisco, CA};America/Los_Angeles;false;false;;;;;;;;;false;false;false
0x8085808679110299:0x2607188167b0f1ef;8f283082aa2d029;37.7835369;-122.4068652;Hotel Zetta San Francisco, a Viceroy Urban Retreat;{hotel,event_venue};{tourism,art_culture};ChIJmQIReYaAhYAR7_GwZ4EYByY;{55 5th St,San Francisco, CA 94103};America/Los_Angeles;false;false;;;+14155438555;https://www.viceroyhotelsandresorts.com/zetta?chebs=gl-zetta;785;4.4;;;false;false;false
